@RELATION all

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE class {"win","lose"}

@DATA
"Rubick","ChaosKnight","Luna","FacelessVoid","BountyHunter",14,2274,"win"
"Axe","ShadowDemon","Riki","Weaver","KeeperoftheLight",-8,1720,"lose"
"Windranger","DrowRanger","Medusa","Pugna","Pudge",8,1720,"win"
"Sniper","Dazzle","Techies","ShadowShaman","Sven",17,2187,"win"
"Undying","Necrophos","Juggernaut","Slark","Timbersaw",-17,2187,"lose"
"Bloodseeker","Sven","Windranger","Phoenix","Earthshaker",-26,2318,"lose"
"CrystalMaiden","PhantomAssassin","Slark","Mirana","Bristleback",26,2318,"win"
"EarthSpirit","Lich","Kunkka","ElderTitan","DragonKnight",31,4636,"win"
"VengefulSpirit","Tidehunter","LegionCommander","Razor","DrowRanger",-31,4636,"lose"
"Razor","LegionCommander","Invoker","Broodmother","Silencer",26,1743,"win"
"Slark","Anti-Mage","Medusa","Abaddon","Sven",-26,1743,"lose"
"PhantomLancer","Invoker","Batrider","WraithKing","Mirana",14,2864,"win"
"Slardar","TrollWarlord","EmberSpirit","StormSpirit","Pudge",-14,2864,"lose"
"Omniknight","Bristleback","Lifestealer","Spectre","Lina",8,2856,"win"
"StormSpirit","ShadowShaman","Slark","Bloodseeker","Kunkka",-8,2856,"lose"
"Juggernaut","Pudge","Alchemist","Techies","Magnus",6,1886,"win"
"PhantomAssassin","StormSpirit","Undying","Luna","VengefulSpirit",-6,1886,"lose"
"Axe","Silencer","PhantomAssassin","StormSpirit","Mirana",-22,2146,"lose"
"Weaver","Magnus","Anti-Mage","DrowRanger","OgreMagi",22,2146,"win"
"Slardar","Invoker","LegionCommander","Bristleback","Juggernaut",-24,2031,"lose"
"StormSpirit","DrowRanger","Slark","Timbersaw","Riki",24,2031,"win"
"Juggernaut","Windranger","PhantomAssassin","Meepo","Huskar",-21,2194,"lose"
"Lich","ShadowFiend","Mirana","LegionCommander","Morphling",21,2194,"win"
"Lina","WraithKing","LegionCommander","DrowRanger","Rubick",-9,3165,"win"
"DragonKnight","Earthshaker","TemplarAssassin","Pudge","ElderTitan",9,3165,"lose"
"NyxAssassin","PhantomAssassin","ShadowFiend","Rubick","Bristleback",-23,2347,"lose"
"Pudge","Juggernaut","Invoker","DrowRanger","Terrorblade",23,2347,"win"
"CrystalMaiden","Lion","Ursa","Broodmother","Zeus",41,1844,"win"
"Juggernaut","LegionCommander","Warlock","Bloodseeker","EmberSpirit",-41,1844,"lose"
"Lifestealer","Bristleback","Razor","Omniknight","PhantomAssassin",-32,1453,"lose"
"TreantProtector","Luna","Pudge","Axe","Necrophos",32,1453,"win"
"Rubick","Sven","ElderTitan","Bristleback","Magnus",-11,2563,"win"
"Slark","Earthshaker","Timbersaw","Puck","Riki",11,2563,"lose"
"Sven","Riki","DrowRanger","Undying","Pugna",16,872,"win"
"Timbersaw","Sniper","Terrorblade","Pudge","Leshrac",-16,872,"lose"
"Timbersaw","Ursa","Windranger","Sniper","Beastmaster",24,1754,"win"
"Clinkz","Kunkka","Phoenix","Lion","Pudge",-24,1754,"lose"
"Pudge","Phoenix","Sniper","Kunkka","DrowRanger",3,3143,"lose"
"Windranger","Lifestealer","Alchemist","TemplarAssassin","CrystalMaiden",-3,3143,"win"
"Necrophos","ShadowFiend","FacelessVoid","Anti-Mage","LegionCommander",-23,3551,"win"
"Tidehunter","TreantProtector","PhantomAssassin","OgreMagi","DrowRanger",17,2695,"win"
"DarkSeer","ShadowFiend","LegionCommander","Windranger","Kunkka",-17,2695,"lose"
"OgreMagi","Dazzle","Juggernaut","PhantomAssassin","Tinker",19,1935,"win"
"Razor","TreantProtector","Mirana","Tiny","Luna",-19,1935,"lose"
"Ursa","Lifestealer","Riki","DragonKnight","DrowRanger",-30,2281,"lose"
"Omniknight","BountyHunter","LegionCommander","Juggernaut","PhantomAssassin",30,2281,"win"
"DrowRanger","TrollWarlord","LegionCommander","NyxAssassin","Sven",15,2386,"win"
"Anti-Mage","Clinkz","Viper","PhantomAssassin","Nature'sProphet",-15,2386,"lose"
"Earthshaker","Alchemist","WinterWyvern","Timbersaw","DrowRanger",12,1686,"win"
"Axe","Clinkz","LegionCommander","Slark","StormSpirit",-12,1686,"lose"
"Tinker","Bane","Mirana","Nature'sProphet","FacelessVoid",-9,3230,"lose"
"Tiny","Omniknight","WraithKing","VengefulSpirit","Alchemist",9,3230,"win"
"Huskar","Earthshaker","Doom","Medusa","Lina",-27,2259,"lose"
"LegionCommander","Undying","Tinker","NightStalker","Omniknight",27,2259,"win"
"Pudge","Anti-Mage","EmberSpirit","LegionCommander","Lion",14,2246,"win"
"StormSpirit","Sven","Bloodseeker","Pugna","DrowRanger",-14,2246,"lose"
"Slark","LegionCommander","Puck","SandKing","Ursa",2,3162,"lose"
"Medusa","Invoker","ShadowShaman","Juggernaut","Riki",-2,3162,"win"
"PhantomAssassin","Windranger","Mirana","LegionCommander","Riki",-21,2573,"lose"
"OutworldDevourer","OgreMagi","Ursa","Pudge","Slark",21,2573,"win"
"Lich","Axe","Sven","StormSpirit","Riki",35,1934,"win"
"Silencer","Meepo","VengefulSpirit","Anti-Mage","DrowRanger",-35,1934,"lose"
"Warlock","Ursa","Timbersaw","BountyHunter","Clinkz",-7,2961,"win"
"LegionCommander","OgreMagi","Alchemist","WitchDoctor","Kunkka",7,2961,"lose"
"Nature'sProphet","EmberSpirit","DragonKnight","Lion","Juggernaut",-43,6002,"win"
"WraithKing","OgreMagi","SkywrathMage","Invoker","Riki",43,6002,"lose"
"Invoker","Timbersaw","Mirana","ShadowShaman","Juggernaut",-22,1854,"lose"
"Clinkz","LegionCommander","Sven","Lion","BountyHunter",22,1854,"win"
"Pudge","PhantomAssassin","Slardar","Enchantress","Mirana",-8,2481,"lose"
"NightStalker","Terrorblade","Phoenix","LegionCommander","KeeperoftheLight",8,2481,"win"
"Juggernaut","Riki","DrowRanger","Bristleback","WitchDoctor",28,2279,"win"
"Slardar","Huskar","Leshrac","Invoker","Io",-28,2279,"lose"
"Pudge","TrollWarlord","Riki","OgreMagi","DarkSeer",0,2320,"lose"
"NyxAssassin","Pudge","Axe","Lina","Silencer",31,1928,"win"
"Enigma","Sniper","QueenofPain","Sven","Meepo",-31,1928,"lose"
"Huskar","Windranger","PhantomAssassin","Tinker","ChaosKnight",-17,2507,"lose"
"Lifestealer","Venomancer","Tinker","Slardar","DrowRanger",8,2606,"win"
"Viper","NyxAssassin","LegionCommander","Slark","Mirana",-8,2606,"lose"
"FacelessVoid","DeathProphet","ElderTitan","Pudge","Timbersaw",0,0,"lose"
"Anti-Mage","Mirana","SpiritBreaker","Timbersaw","Weaver",29,2220,"win"
"Pudge","Silencer","Invoker","DarkSeer","BountyHunter",-29,2220,"lose"
"QueenofPain","AncientApparition","Tidehunter","Viper","Zeus",22,2961,"win"
"Invoker","Bane","Riki","OutworldDevourer","Sven",-22,2961,"lose"
"KeeperoftheLight","Zeus","Axe","PhantomAssassin","Sven",34,2262,"win"
"Undying","FacelessVoid","Earthshaker","Lifestealer","Timbersaw",-34,2262,"lose"
"DeathProphet","Medusa","Mirana","Spectre","Timbersaw",-17,2053,"lose"
"Sniper","Necrophos","Axe","BountyHunter","LegionCommander",17,2053,"win"
"Undying","Terrorblade","Io","Jakiro","Bristleback",5,2637,"win"
"Rubick","Meepo","Disruptor","Medusa","Lina",-5,2637,"lose"
"Tiny","Pudge","CrystalMaiden","Sven","Viper",28,2853,"win"
"DrowRanger","Lion","Broodmother","Slark","Huskar",-28,2853,"lose"
"Visage","Venomancer","Weaver","Axe","Alchemist",16,2501,"win"
"Axe","Warlock","Sven","Tidehunter","Alchemist",-2,3124,"win"
"Mirana","LegionCommander","CrystalMaiden","Slark","Timbersaw",25,2533,"win"
"Ursa","Windranger","Invoker","FacelessVoid","Riki",-25,2533,"lose"
"Axe","Morphling","Juggernaut","Sniper","Oracle",14,2913,"win"
"ElderTitan","Weaver","Undying","Windranger","Huskar",-14,2913,"lose"
"Tinker","Anti-Mage","BountyHunter","WraithKing","Riki",21,2714,"win"
"undefined","undefined","undefined","undefined","undefined",0,0,"lose"
"AncientApparition","Huskar","Venomancer","Pudge","Riki",21,2523,"win"
"Earthshaker","BountyHunter","Mirana","Ursa","Slardar",-21,2523,"lose"
"Morphling","Kunkka","Razor","Axe","Slark",-6,2695,"lose"
"Sniper","Bloodseeker","DrowRanger","Invoker","Alchemist",6,2695,"win"
"Juggernaut","Slark","Bane","FacelessVoid","Clinkz",26,2032,"win"
"Techies","Rubick","Lifestealer","Mirana","Clockwerk",-26,2032,"lose"
"Undying","Invoker","Windranger","Slark","DrowRanger",-27,2181,"lose"
"Mirana","Sniper","CrystalMaiden","Beastmaster","Sven",27,2181,"win"
"Lina","Pudge","ChaosKnight","SpiritBreaker","Sniper",20,3351,"win"
"ShadowFiend","Lifestealer","Slark","Riki","Lion",-20,3351,"lose"
"Riki","Timbersaw","Morphling","Zeus","PhantomAssassin",20,2380,"win"
"Sven","Sniper","PhantomLancer","Slark","Tusk",-20,2380,"lose"
"DrowRanger","Zeus","Lycan","OutworldDevourer","Riki",-24,2033,"lose"
"BountyHunter","Slark","Luna","ShadowFiend","Oracle",-5,2903,"lose"
"Axe","Mirana","Magnus","CrystalMaiden","Io",5,2903,"win"
"Juggernaut","DrowRanger","Alchemist","Bloodseeker","Omniknight",20,1817,"win"
"Necrophos","LegionCommander","Anti-Mage","Slardar","Timbersaw",-20,1817,"lose"
"OgreMagi","TrollWarlord","Bloodseeker","DarkSeer","KeeperoftheLight",27,2363,"win"
"Pudge","FacelessVoid","Doom","EmberSpirit","Viper",-27,2363,"lose"
"FacelessVoid","WitchDoctor","Axe","Invoker","DragonKnight",6,4002,"lose"
"Phoenix","Medusa","CentaurWarrunner","Rubick","Sven",-6,4002,"win"
"Viper","Sniper","SkywrathMage","LegionCommander","DrowRanger",9,3268,"win"
"Lina","LegionCommander","Slark","Slardar","Necrophos",-16,2204,"lose"
"Juggernaut","Tidehunter","Sven","Invoker","PhantomAssassin",16,2204,"win"
"Axe","Mirana","Earthshaker","Juggernaut","QueenofPain",-41,2249,"lose"
"CrystalMaiden","DragonKnight","Kunkka","Weaver","LegionCommander",41,2249,"win"
"Earthshaker","DrowRanger","SandKing","StormSpirit","Zeus",23,1998,"win"
"BountyHunter","Kunkka","Pudge","Lion","Windranger",-9,1948,"lose"
"Timbersaw","Slardar","Huskar","LegionCommander","OgreMagi",16,1971,"win"
"Axe","Medusa","Mirana","Anti-Mage","Bloodseeker",-16,1971,"lose"
"DrowRanger","LegionCommander","Bristleback","Mirana","BountyHunter",8,3007,"win"
"PhantomAssassin","TrollWarlord","NyxAssassin","DragonKnight","Doom",32,3097,"win"
"Lina","DeathProphet","Anti-Mage","Juggernaut","Sniper",-32,3097,"lose"
"Invoker","PhantomAssassin","FacelessVoid","Lion","BountyHunter",-23,3168,"lose"
"Earthshaker","Slark","Juggernaut","Timbersaw","Necrophos",23,3168,"win"
"TemplarAssassin","PhantomAssassin","Warlock","ChaosKnight","Bloodseeker",17,2251,"win"
"Invoker","Tinker","PhantomLancer","LegionCommander","Juggernaut",-17,2251,"lose"
"Pugna","Spectre","Doom","Sniper","Sven",-4,3181,"win"
"PhantomAssassin","Timbersaw","Jakiro","Mirana","Tusk",16,2221,"win"
"LegionCommander","DrowRanger","Timbersaw","Riki","EarthSpirit",-21,3626,"win"
"Pudge","Ursa","Tusk","PhantomAssassin","Huskar",21,3626,"lose"
"WraithKing","Clinkz","WitchDoctor","FacelessVoid","Beastmaster",-13,2501,"lose"
"Jakiro","Magnus","PhantomAssassin","OgreMagi","Phoenix",13,2501,"win"
"Axe","Anti-Mage","Spectre","Huskar","Kunkka",42,2777,"win"
"Razor","PhantomAssassin","Windranger","ShadowFiend","Riki",-42,2777,"lose"
"Lifestealer","StormSpirit","Slardar","Lion","Mirana",-7,3214,"lose"
"Anti-Mage","WitchDoctor","KeeperoftheLight","Sniper","Luna",7,3214,"win"
"Invoker","Doom","PhantomLancer","ShadowFiend","Alchemist",-14,2548,"lose"
"ChaosKnight","Lion","OgreMagi","QueenofPain","Slardar",-17,2342,"lose"
"LegionCommander","Sven","Dazzle","Zeus","Spectre",17,2342,"win"
"Morphling","Juggernaut","DrowRanger","Venomancer","Slardar",-57,2918,"lose"
"Pudge","Axe","Zeus","NyxAssassin","SpiritBreaker",57,2918,"win"
"Omniknight","Timbersaw","Slark","Riki","EmberSpirit",30,1871,"win"
"Juggernaut","DragonKnight","Slardar","Undying","Invoker",-30,1871,"lose"
"Tinker","Omniknight","Sven","TreantProtector","Magnus",15,2519,"win"
"PhantomAssassin","Enigma","Earthshaker","Dazzle","Invoker",-15,2519,"lose"
"Timbersaw","Tinker","AncientApparition","Morphling","Riki",5,3188,"lose"
"Alchemist","DrowRanger","QueenofPain","Jakiro","Juggernaut",-5,3188,"win"
"Juggernaut","Slark","Bloodseeker","NagaSiren","Puck",14,2995,"win"
"Omniknight","DragonKnight","Morphling","Invoker","Lion",-14,2995,"lose"
"Anti-Mage","DrowRanger","Timbersaw","ShadowDemon","Abaddon",-1,2557,"lose"
"LegionCommander","Lion","DragonKnight","Silencer","PhantomAssassin",1,2557,"win"
"Io","Ursa","Axe","Razor","Mirana",32,2774,"win"
"Timbersaw","CentaurWarrunner","Clinkz","BountyHunter","VengefulSpirit",-32,2774,"lose"
"Windranger","Juggernaut","Necrophos","Pudge","Sven",17,3023,"win"
"Lifestealer","TrollWarlord","LegionCommander","Ursa","Enchantress",-17,3023,"lose"
"Tidehunter","Weaver","Pudge","Huskar","Tiny",-7,2883,"lose"
"Invoker","Axe","Anti-Mage","Mirana","Timbersaw",7,2883,"win"
"Tiny","Mirana","Riki","Viper","Luna",12,2706,"win"
"Juggernaut","Earthshaker","Timbersaw","Pudge","Sniper",-12,2706,"lose"
"Necrophos","Omniknight","Sven","VengefulSpirit","Sniper",-46,3908,"lose"
"Bane","Sven","VengefulSpirit","Tinker","Bloodseeker",22,2364,"win"
"Necrophos","Anti-Mage","Lina","ChaosKnight","Mirana",-22,2364,"lose"
"Rubick","Sven","SpiritBreaker","BountyHunter","SandKing",15,3245,"win"
"FacelessVoid","NyxAssassin","CentaurWarrunner","Mirana","Windranger",-15,3245,"lose"
"Windranger","DrowRanger","CentaurWarrunner","Lion","WraithKing",-6,3441,"win"
"Lifestealer","SpiritBreaker","Mirana","Riki","VengefulSpirit",6,3441,"lose"
"VengefulSpirit","Sniper","Ursa","PhantomAssassin","Spectre",1,2752,"win"
"Pudge","Earthshaker","Sven","Slark","Mirana",-1,2752,"lose"
"BountyHunter","Tinker","CrystalMaiden","Necrophos","Slark",16,2960,"win"
"Sven","CrystalMaiden","CentaurWarrunner","Mirana","TemplarAssassin",25,1985,"win"
"Windranger","EarthSpirit","Terrorblade","OgreMagi","CrystalMaiden",-18,2008,"lose"
"Bane","WraithKing","Slark","Warlock","Nature'sProphet",5,1572,"win"
"Alchemist","CrystalMaiden","Phoenix","Enchantress","EmberSpirit",-5,1572,"lose"
"Kunkka","Lion","Invoker","Windranger","Nature'sProphet",12,1630,"win"
"Weaver","PhantomAssassin","BountyHunter","Timbersaw","Pudge",-12,1630,"lose"
"Lion","Lifestealer","Silencer","Gyrocopter","Axe",-7,3187,"lose"
"SkywrathMage","CentaurWarrunner","DrowRanger","PhantomAssassin","Earthshaker",7,3187,"win"
"Lion","Slark","Necrophos","Meepo","Luna",7,2337,"win"
"ShadowShaman","Riki","Alchemist","Axe","LegionCommander",-7,2337,"lose"
"Juggernaut","ShadowFiend","CrystalMaiden","PhantomAssassin","Mirana",-21,2565,"lose"
"Pudge","BountyHunter","Morphling","Invoker","Slark",21,2565,"win"
"Meepo","Kunkka","Earthshaker","DrowRanger","Slardar",17,2534,"win"
"Tinker","Slark","Windranger","Axe","LegionCommander",-17,2534,"lose"
"Juggernaut","Invoker","Kunkka","Lich","Omniknight",-13,2431,"lose"
"OgreMagi","Anti-Mage","EmberSpirit","Lion","FacelessVoid",13,2431,"win"
"LegionCommander","OutworldDevourer","Rubick","NightStalker","Invoker",-27,2188,"lose"
"Pudge","NyxAssassin","Mirana","Medusa","Timbersaw",27,2188,"win"
"WinterWyvern","VengefulSpirit","Gyrocopter","Juggernaut","QueenofPain",-26,1853,"lose"
"FacelessVoid","Mirana","DragonKnight","DrowRanger","Phoenix",26,1853,"win"
"SpiritBreaker","DrowRanger","Invoker","Slardar","VengefulSpirit",6,2165,"win"
"SkywrathMage","OutworldDevourer","Bane","Windranger","Slark",-6,2165,"lose"
"TrollWarlord","DrowRanger","Jakiro","CrystalMaiden","StormSpirit",33,2458,"win"
"KeeperoftheLight","Necrophos","FacelessVoid","WitchDoctor","Luna",-33,2458,"lose"
"Viper","Venomancer","Sniper","Medusa","NagaSiren",-40,2881,"lose"
"LegionCommander","Juggernaut","Ursa","DarkSeer","Luna",40,2881,"win"
"SkywrathMage","Rubick","Juggernaut","ShadowFiend","Doom",-20,3424,"lose"
"Lifestealer","Zeus","Mirana","Spectre","VengefulSpirit",20,3424,"win"
"LegionCommander","Kunkka","Huskar","Juggernaut","Lion",-8,3638,"win"
"PhantomAssassin","SpiritBreaker","TrollWarlord","FacelessVoid","ShadowFiend",-25,1768,"lose"
"DeathProphet","PhantomAssassin","Pudge","Sven","Huskar",2,2334,"win"
"Windranger","Necrophos","LegionCommander","WraithKing","SkywrathMage",17,2048,"win"
"Pudge","Juggernaut","Lifestealer","StormSpirit","Silencer",-17,2048,"lose"
"StormSpirit","WinterWyvern","Pudge","NyxAssassin","Puck",37,2779,"win"
"Leshrac","DrowRanger","SpiritBreaker","Sniper","Mirana",-37,2779,"lose"
"Huskar","LegionCommander","Rubick","Earthshaker","SpiritBreaker",22,2290,"win"
"DarkSeer","Mirana","Tiny","Spectre","Slark",-22,2290,"lose"
"PhantomLancer","Magnus","Bloodseeker","Mirana","PhantomAssassin",-25,2204,"lose"
"Silencer","ShadowShaman","SpiritBreaker","Invoker","Juggernaut",25,2204,"win"
"Lion","Invoker","FacelessVoid","Venomancer","Slark",1,2323,"win"
"Juggernaut","DrowRanger","Axe","OutworldDevourer","CrystalMaiden",18,1796,"win"
"Jakiro","Lycan","Ursa","LegionCommander","Clinkz",-18,1796,"lose"
"SpiritBreaker","Slark","Sven","Axe","ShadowShaman",25,2250,"win"
"Lina","PhantomLancer","PhantomAssassin","Earthshaker","Mirana",-25,2250,"lose"
"Lina","DarkSeer","Invoker","PhantomAssassin","BountyHunter",5,3679,"win"
"FacelessVoid","Tinker","Techies","Slark","Axe",-5,3679,"lose"
"Chen","VengefulSpirit","PhantomAssassin","Mirana","Warlock",5,3391,"lose"
"Medusa","DrowRanger","Timbersaw","ElderTitan","OgreMagi",-5,3391,"win"
"Omniknight","QueenofPain","DrowRanger","PhantomAssassin","OgreMagi",18,3371,"lose"
"Nature'sProphet","Chen","Sniper","Tidehunter","VengefulSpirit",-18,3371,"win"
"Earthshaker","Mirana","Puck","Slark","AncientApparition",17,2985,"win"
"Morphling","Riki","KeeperoftheLight","Windranger","Huskar",-17,2985,"lose"
"TreantProtector","Sniper","Juggernaut","Sven","Earthshaker",6,2361,"win"
"FacelessVoid","Mirana","Nature'sProphet","Necrophos","StormSpirit",-6,2361,"lose"
"Pudge","Morphling","Ursa","Timbersaw","Riki",11,2620,"win"
"CrystalMaiden","Sniper","Kunkka","FacelessVoid","ShadowFiend",-15,3089,"lose"
"DrowRanger","Invoker","KeeperoftheLight","Meepo","NyxAssassin",15,3089,"win"
"Necrophos","Alchemist","Riki","Lifestealer","Abaddon",23,2542,"win"
"Invoker","CrystalMaiden","Bloodseeker","Brewmaster","FacelessVoid",31,2839,"win"
"Warlock","Jakiro","Huskar","ElderTitan","WinterWyvern",43,1696,"win"
"Lion","Juggernaut","Luna","Bristleback","Zeus",-43,1696,"lose"
"Mirana","Pudge","Abaddon","Axe","Doom",17,2991,"win"
"DeathProphet","Undying","Slark","EmberSpirit","Bane",-17,2991,"lose"
"Disruptor","Tinker","CrystalMaiden","SpiritBreaker","Pudge",39,2566,"win"
"ShadowFiend","ShadowDemon","PhantomAssassin","Spectre","Slark",-39,2566,"lose"
"Huskar","Meepo","WraithKing","PhantomAssassin","Pudge",-17,1795,"lose"
"Terrorblade","StormSpirit","TrollWarlord","Ursa","Sven",17,1795,"win"
"Sven","Enigma","WitchDoctor","WraithKing","Mirana",8,1204,"win"
"Lion","Axe","Sniper","Pudge","LegionCommander",-8,1204,"lose"
"VengefulSpirit","Mirana","Spectre","Sniper","ArcWarden",5,2957,"win"
