Heroes,Kills,Deaths,Assists,Last hits,GPM,Xpm,Hero Damage,Tower damage,Gold,Gold Spent
72,7.31,9.04,12.78,157.75,427.11,451.83,13013.85,1257.22,1736.04,14996.85
73,6.54,7.34,11.25,253.43,702.06,572.51,13341.3,2503.36,2560.87,25092.22
74,8.59,7.27,12.66,152.54,463.6,510.07,14117.68,1786.34,2215.88,16104.17
75,6.95,8.4,16.93,86.73,369.63,405.85,12131.68,979.34,1640.27,12767.96
76,9.42,8.04,9.87,133.46,420.93,475.34,14233.99,1168.18,1787.94,14921.5
77,5.96,6.85,10.59,164.43,444.27,467.02,8518.55,2859.82,1671.98,14780.91
78,5.23,7.4,13.62,126.54,392.03,451.71,9276.85,793.08,1759.68,13436.64
79,4.26,8.95,14.25,56.88,315.93,329.74,8278.74,690.26,1393.03,10208.41
80,4,6.4,9.27,180.92,430.21,418.85,7500.06,2001.13,1702.88,14680.5
81,8.71,8.43,11.17,131.76,426.5,474.31,12306.99,1952.63,1912.26,15023.05
82,9.4,8.44,8.79,205.55,510.68,644.52,12488.72,2724.56,2244.48,15624.07
83,3.07,6.92,15.24,99.86,337.33,368.42,5275.97,503.26,1844.24,11636.3
84,4.67,7.81,16.35,51.17,326.96,390.46,9367,356.11,1575.06,10843.22
85,5.68,8.52,18.36,73.36,355.35,400.79,8475.75,478.08,1623.45,11700.46
86,4.17,9.21,15.48,59.15,317.64,363.02,7534.24,298.8,1391.96,10713.68
87,4.46,8.95,18.54,44.25,312.38,350.45,8667.35,354.17,1376.94,10213.33
88,8.95,8.09,12.82,54.95,355.49,452.08,13135.61,255.83,1489.12,12761.89
89,4.59,6.12,11.95,236.06,463.01,450.57,8794.62,1596.74,2286.88,17128.52
90,3.17,7.32,17.34,90.46,340.17,363.5,7485.73,404.02,1680.3,11628.72
91,2.63,9.64,14.97,30.36,264.51,299.48,4836.83,244.6,1192.27,8130.36
92,6.9,7.88,12.84,70.63,346.96,387.98,10829.99,1012.95,1629.62,11645.85
93,10.65,7.51,11.1,164.62,481.64,554.84,14573.29,1818.46,2051.37,17175.86
94,5.71,5.36,12.83,259.71,519.5,543.83,12821.93,2375.42,2374.88,19499.97
95,8.04,8.37,11.46,167.34,461.59,508.59,11848.44,2612.05,1802.4,16043.42
96,6.93,7.88,16.91,139.85,423.2,472.4,12150.81,1535.19,2040.27,14441.83
97,5.86,7.71,14.08,129.5,396.86,468.42,9499.46,694.86,1718.93,13814.01
98,8.96,8.43,12.46,174,463.03,519.01,15547.58,428.62,2069.55,16058.44
99,7.25,8.28,15.05,132.08,413.47,473.26,14859.21,1093.36,1846.32,14415.71
100,7.46,9.65,13.68,79.35,364.45,410.98,11072.44,558.38,1397.9,12355.07
101,7.91,9.46,13.33,46.96,329.62,390.08,13088.56,378.52,1468.68,11581.77
102,5.86,6.44,15.45,114.06,405.36,467.53,10841.92,1248.25,1908.71,13914.99
103,4.04,7.56,17.93,73.21,339.44,390.73,9814.1,408.46,1706.55,11739.67
104,8.51,7.73,10.09,184.01,469.7,524.5,11583.37,2215.07,1906.39,16191.3
105,7.89,8.65,6.52,73.51,333.71,289.88,12432.5,222.48,1705.88,12152.74
106,7.66,7.6,11.82,217.55,470.45,510.64,13705.89,1062.45,1793.31,17519.44
107,4,9.31,15.06,48.51,303.02,351.61,7711.47,232.21,1324.35,10227.23
109,7.27,7.63,9.98,203.71,484.1,485.61,11428.93,3455.59,2239.86,16731.54
110,5.4,8.04,18.38,64.45,345.19,408.06,11256.42,401.67,1952.22,11400.37
111,5.81,8.25,15.22,39.17,303.78,341.64,7588.61,395.43,1364.75,9877.68
112,3.53,7.99,13.83,64.21,321.21,363.96,6107.38,350.9,1531.7,10410.07
113,8.58,7.67,12.23,147.08,492.49,479.44,15483.55,1870.74,2255.89,17389.8
