Heroes,Kills,Deaths,Assists,Last hits,GPM,Xpm,Hero Damage,Tower damage,Gold,Gold Spent
74,6.95,8.75,10.06,142.49,398.22,455.82,12493.24,727.99,1314.79,14071.13
75,5.53,10.17,13.59,79.82,304.72,355.42,11283.43,317.05,896.16,10866.58
76,6.82,9.63,7.92,117.01,353.26,415.46,11741.03,384.34,980.98,12282.86
77,4.79,8.23,9.4,157.41,374.4,422.65,7757.73,1201.07,940.2,13100.82
78,4.07,8.61,10.86,117.62,342.36,418.36,8413.39,284,1084.12,11570.18
79,3.87,10.6,11.55,52.63,270.5,300.07,8149.35,215.62,809.14,8912.65
80,3.34,7.72,7.67,175.81,374.32,394.62,6783.83,951.91,1107.35,13481.31
81,6.66,10.45,9.48,124.25,362.46,418.07,10459.65,687,1129.34,12904.48
82,6.6,10.28,7.5,186.4,408,550.61,9877.21,888.32,1065.59,13111.55
83,2.37,8.97,11.24,88.57,277.93,316.69,4725.19,184.83,958.45,9829.93
84,3.95,9.96,12.97,50.09,274.62,341.64,8964.01,128.26,940.61,9550.8
85,4.97,10.52,14.26,70.49,299.96,355.16,8201.18,158.64,921.17,10281.27
86,3.57,10.75,13.15,57.9,275.25,331.31,7197.14,119.92,897.84,9461.16
87,3.86,10.55,14.65,42.33,264.07,313.08,8107.95,130.08,820.81,8934.38
88,7.77,9.79,10.69,52.99,315.1,418.4,12295.05,87.72,982.97,11422.08
89,3.29,7.6,9.75,188.32,373.22,395.49,6942.01,452.89,1192.97,13451.27
90,2.62,9.06,13.49,94.58,297.23,325.48,7299.58,163.55,956.89,10637.97
91,2.18,10.41,11.41,28.2,232.98,261.01,4536,90.17,838.26,6804.08
92,5.64,9.35,9.77,57.08,292.47,337.98,10070.45,291.7,964.41,9014.09
93,7.52,9.39,8.85,147.02,393.57,483.81,11506.68,466.06,1094.14,13998
94,4.3,7.17,10.09,238.78,437.25,488.04,11222.91,799.41,1423.88,16469.72
95,6.26,10.36,9.59,153.91,383.13,445.19,10298.53,924.52,1049.55,13370.4
96,5.43,10.07,13.74,132.81,353.89,416.54,11133.1,473.75,1104.93,12354.92
97,4.79,9.17,11.32,117.65,345.45,421.55,8613.93,189.33,1023.91,11778.07
98,7.05,10.35,9.68,166.81,394.22,457.1,13855.49,153.52,1269.19,13923.57
99,6.19,10.12,11.89,128.7,361.67,431.29,14321.77,389.2,1181.29,12615.24
100,6.54,11.08,11.58,76.52,321.76,381.72,10361.03,201.09,869.85,11106.72
101,7.13,11,11.23,45.55,290.72,357.37,12652.63,155.35,959.1,10342.32
102,5.11,8.23,12.22,111.4,341.1,423.19,10758.31,517.04,1094.29,12468.12
103,3.44,9.25,13.86,71.7,293.62,351.59,9412.06,98.45,969.65,10290.12
104,6.36,9.63,8.72,170.07,391.85,458.99,9744.28,617.32,1017.31,13741.98
105,7.71,9.64,5.79,74.8,306.92,284.3,12672.04,106.87,1329.23,11268.32
106,6.24,8.79,10.16,205.91,416.34,471.95,12448.08,488.07,1214.57,15504.08
107,3.39,10.46,11.41,46.96,266.24,312.9,7094.02,75.35,851.24,8753.73
109,5.39,9.66,8.17,179.94,396.47,430.09,9735.64,1101.25,1146.04,13782.51
110,4.77,9.7,14.25,63.33,300.03,363.94,11014.95,129.85,1075.76,10093.27
111,5.05,9.98,13.11,38.44,260.26,307.85,7172.26,157.94,822.21,8705.68
112,3.25,9.85,11.24,64,272.01,330.54,5987.29,111.7,993.19,9210.96
113,6.37,9.48,9.81,126.74,402.06,415.51,12815,629.05,1425.05,14534.28
